manufacturer,type,fuel,transmission,drive,paint_color,odometer_mean,odometer_std,odometer_median,odometer_count,year_mean,year_std,year_median,year_count,price_mean,price_std,price_median,price_count,odometer_cv,year_cv,price_cv
acura,SUV,gas,automatic,4wd,black,130459.82857142857,152855.35495284028,112698.0,105,2011.857142857143,4.830648490126844,2013.0,105,12478.828571428572,10420.851515902312,10999.0,105,1.1716660724350856,0.0024010892161391685,0.8350825124532772
acura,SUV,gas,automatic,4wd,blue,157357.7037037037,61354.88793004867,152885.0,27,2008.4074074074074,4.2630727385055485,2007.0,27,8485.62962962963,9438.265205445283,5950.0,27,0.38990711281334345,0.0021226135308914343,1.112264571681198
acura,SUV,gas,automatic,4wd,brown,148432.4,31192.31628034913,133411.0,10,2009.9,2.378141197564951,2011.0,10,9374.0,3369.5011170465245,11600.0,10,0.21014492981551958,0.0011832136910119662,0.359451794009657
acura,SUV,gas,automatic,4wd,custom,136233.41666666666,59137.947880678774,136138.0,12,2009.0,4.512608598542133,2010.0,12,11736.75,7381.653721158349,10447.5,12,0.4340928189841732,0.0022461964154017588,0.6289350732663087
acura,SUV,gas,automatic,4wd,green,187031.8,16530.315066567848,190000.0,5,2004.2,2.1679483388678706,2004.0,5,3319.4,2153.144282206838,2800.0,5,0.08838237704266252,0.0010817025939865634,0.6486546611456402
acura,SUV,gas,automatic,4wd,grey,119489.79,53927.38002245955,125000.0,100,2010.92,3.907206499055545,2010.0,100,12934.52,8972.901137189561,10700.0,100,0.45131370657241554,0.0019429944995601738,0.6937173654058721
acura,SUV,gas,automatic,4wd,orange,198000.0,,198000.0,1,2004.0,,2004.0,1,1000.0,,1000.0,1,0.0,0.0,0.0
acura,SUV,gas,automatic,4wd,purple,165000.0,,165000.0,1,2007.0,,2007.0,1,5500.0,,5500.0,1,0.0,0.0,0.0
acura,SUV,gas,automatic,4wd,red,102324.88888888889,70537.11143860772,108100.0,27,2009.4444444444443,5.458467898125984,2008.0,27,12957.62962962963,11592.18809287646,7500.0,27,0.6893446179570404,0.0027164064740466606,0.8946225833133187
acura,SUV,gas,automatic,4wd,silver,120437.65853658537,53593.29891051637,121841.0,123,2009.3658536585365,10.853924494358166,2010.0,123,13826.60162601626,10057.377850376472,11400.0,123,0.4449878847008332,0.005401666637559294,0.727393333691803
acura,SUV,gas,automatic,4wd,white,107164.12871287129,60009.316795754865,101418.0,101,2012.1782178217823,4.798741584215514,2012.0,101,12646.485148514852,11835.244596216728,8950.0,101,0.5599757821625181,0.0023848491856801007,0.9358524884368055
acura,SUV,gas,automatic,fwd,black,76880.43589743589,32132.312845151333,86919.0,39,2014.8461538461538,2.4010793794114127,2014.0,39,19255.358974358973,6804.863258950134,16990.0,39,0.4179517515745902,0.0011916936560282657,0.35340100737730723
acura,SUV,gas,automatic,fwd,blue,70689.85714285714,59388.24103706213,65000.0,7,2013.0,7.810249675906611,2015.0,7,18689.14285714286,11498.89496761278,15900.0,7,0.8401239362677508,0.003879905452511978,0.6152713934239088
